,cache_thrash,membw_saturator,tlb_stress,numa_remote,prefetch_adversary,io_burst,pagefault_heavy,light_background
rpc_microservice,82624.56568315192,65421.92910295187,20956.47155747081,35804.8749672898,60827.60400087952,12657.557443298581,12053.672586986544,31961.597302688562
kv_lookup,26010.194327439676,14479.129881327695,9868.978641695054,7322.409019483191,23737.14515981687,3367.7074557369597,5255.901671817581,4577.619436867573
inference_request,11939567.336340968,11767949.813823678,2098956.246086264,4005277.816341418,9821163.006184187,1248490.2712126276,2623181.286745237,1081166.5653969126
