,cache_thrash,membw_saturator,tlb_stress,numa_remote,prefetch_adversary,io_burst,pagefault_heavy,thermal_stress,mixed_cache_membw,light_background
rpc_microservice,"49637.0 [44811.4, 54441.6]","39695.5 [31947.5, 44913.8]","19056.6 [17365.3, 20767.3]","22614.6 [20257.1, 25461.3]","36872.0 [34683.4, 40243.9]","10001.5 [8761.3, 11241.7]","13850.5 [12577.0, 15394.1]","20354.6 [20130.2, 20555.8]","75485.9 [66777.8, 84194.0]","18310.5 [14978.6, 23333.6]"
inference_request,"5573346.0 [4717230.3, 6314252.4]","5731669.5 [5243780.9, 6290519.4]","1523546.9 [1271573.2, 1775520.5]","2912971.3 [2676187.8, 3253223.4]","4695132.1 [4136034.5, 5282405.7]","1378147.8 [1009548.9, 1746746.7]","2131404.2 [1492955.3, 2772416.9]","1404165.5 [1273654.7, 1534896.9]","8138208.2 [7676215.0, 8691878.5]","1449059.7 [1140449.9, 1783437.9]"
realtime_control,"4522.0 [4113.1, 4930.9]","6147.6 [5731.5, 6435.9]","2335.4 [2082.7, 2614.3]","2829.6 [2744.1, 2958.2]","3958.3 [3703.1, 4296.6]","1044.7 [839.7, 1158.2]","1670.9 [1431.8, 1924.1]","1715.3 [1476.1, 1954.5]","5686.6 [4833.8, 6298.1]","687.3 [624.5, 766.7]"
kv_lookup,"19544.3 [13914.7, 25173.8]","10945.5 [9632.6, 12387.7]","4590.9 [4275.9, 4905.2]","5709.3 [4956.5, 6656.7]","10993.6 [9423.8, 12642.1]","3724.3 [3349.7, 4098.8]","4000.6 [3530.2, 4356.9]","4881.9 [4311.6, 5216.6]","21311.3 [16748.1, 26969.1]","3745.5 [2338.9, 4878.9]"
streaming_frame,"717786.3 [622936.7, 814676.4]","1350549.6 [1197295.1, 1558503.4]","360084.0 [317854.7, 406447.1]","520066.2 [376674.3, 640966.9]","896667.8 [645986.5, 1127022.5]","210474.9 [179930.3, 241019.4]","346205.0 [279078.6, 413331.4]","219448.4 [183584.3, 264220.3]","1248860.2 [1091775.9, 1405944.4]","169858.3 [155547.9, 178565.4]"
