,scheduler,mean_mean,mean_std,p95_mean,p95_std,p99_mean,p99_std,cvar99_mean,cvar99_std,slo_violation_rate_mean,slo_violation_rate_std
0,linux_proxy,682696.9473055657,13584640.825254912,1205757.916854767,12536003.575318325,5033321.202003477,58607418.17526285,38048761.952690616,1146740630.8720465,0.4520311111111111,0.3811880195821147
1,mean_greedy,70417.34329434401,1202917.4590763927,133196.57506664563,840911.005883923,511864.5523704751,4193486.2403557287,3557428.25792815,114915119.08459447,0.3747844444444444,0.3493977903428132
2,random,421456.1553429631,8950297.478788225,687018.9955775272,7601083.469414602,2659273.5251653087,29030252.539124154,25644088.415587906,845129819.077067,0.41982533333333333,0.37010570351496985
3,similarity_avoidance,75820.67233659205,587808.8872321399,167223.38949293422,1068634.6148111147,631842.9479618857,4517632.120690333,3193256.8411135976,40219214.210848555,0.38966355555555554,0.3562305612372832
4,sit_dpp,73765.38774195983,972371.0861819189,132798.88438433767,844342.6813847504,532436.9729963038,4084692.0805495004,3871631.7291752715,91054614.06344636,0.3742751111111111,0.3495312963326891
5,sit_ucb_dpp,57152.54994812363,398108.8253477672,130138.10493414044,818789.8073896843,501704.14110505907,4151126.998504573,2248193.6554371305,26566711.078819197,0.3745791111111111,0.34967201515261903
6,static_partition,52056.1301888596,325190.524629839,117912.49610951991,768802.1610956946,475081.11268027406,2940326.971309222,2370467.8900585836,21960151.839048345,0.34390533333333334,0.31608383313634486
