target,spectator,load,distance,observed,predicted,sim,h_rho,predicted_regression
rpc_microservice,cache_thrash,0.3,same_core,70655.51707762024,514.9928433976256,0.8652560357953759,1.0,
rpc_microservice,cache_thrash,0.3,same_numa,70655.51707762024,205.99713735905016,0.8652560357953759,0.4,
rpc_microservice,cache_thrash,0.3,cross_socket,70655.51707762024,51.499284339762426,0.8652560357953759,0.1,
rpc_microservice,cache_thrash,0.6,same_core,70655.51707762024,1183.1428640921963,0.8652560357953759,1.0,
rpc_microservice,cache_thrash,0.6,same_numa,70655.51707762024,473.25714563687825,0.8652560357953759,0.4,
rpc_microservice,cache_thrash,0.6,cross_socket,70655.51707762024,118.31428640921968,0.8652560357953759,0.1,
rpc_microservice,cache_thrash,0.9,same_core,70655.51707762024,1924.6275561029724,0.8652560357953759,1.0,2837966.2998884204
rpc_microservice,cache_thrash,0.9,same_numa,70655.51707762024,769.8510224411893,0.8652560357953759,0.4,
rpc_microservice,cache_thrash,0.9,cross_socket,70655.51707762024,192.46275561029734,0.8652560357953759,0.1,2807154.2310247826
rpc_microservice,membw_saturator,0.3,same_core,46235.84015492868,413.5523366067955,0.6948225785150024,1.0,
rpc_microservice,membw_saturator,0.3,same_numa,46235.84015492868,165.42093464271852,0.6948225785150024,0.4,
rpc_microservice,membw_saturator,0.3,cross_socket,46235.84015492868,41.35523366067946,0.6948225785150024,0.1,1469598.4060563897
rpc_microservice,membw_saturator,0.6,same_core,46235.84015492868,950.0937775308125,0.6948225785150024,1.0,1483104.8261211463
rpc_microservice,membw_saturator,0.6,same_numa,46235.84015492868,380.037511012325,0.6948225785150024,0.4,1474632.180773283
rpc_microservice,membw_saturator,0.6,cross_socket,46235.84015492868,95.00937775308125,0.6948225785150024,0.1,1470395.8580993512
rpc_microservice,membw_saturator,0.9,same_core,46235.84015492868,1545.5248225841292,0.6948225785150024,1.0,
rpc_microservice,membw_saturator,0.9,same_numa,46235.84015492868,618.2099290336519,0.6948225785150024,0.4,
rpc_microservice,membw_saturator,0.9,cross_socket,46235.84015492868,154.55248225841274,0.6948225785150024,0.1,
rpc_microservice,tlb_stress,0.3,same_core,18857.777598425095,327.7184138510938,0.550610244902004,1.0,
rpc_microservice,tlb_stress,0.3,same_numa,18857.777598425095,131.08736554043753,0.550610244902004,0.4,341025.5716202124
rpc_microservice,tlb_stress,0.3,cross_socket,18857.777598425095,32.77184138510938,0.550610244902004,0.1,
rpc_microservice,tlb_stress,0.6,same_core,18857.777598425095,752.8992057859782,0.550610244902004,1.0,
rpc_microservice,tlb_stress,0.6,same_numa,18857.777598425095,301.15968231439115,0.550610244902004,0.4,342891.77854022896
rpc_microservice,tlb_stress,0.6,cross_socket,18857.777598425095,75.28992057859796,0.550610244902004,0.1,
rpc_microservice,tlb_stress,0.9,same_core,18857.777598425095,1224.7469028480905,0.550610244902004,1.0,
rpc_microservice,tlb_stress,0.9,same_numa,18857.777598425095,489.8987611392363,0.550610244902004,0.4,
rpc_microservice,tlb_stress,0.9,cross_socket,18857.777598425095,122.47469028480896,0.550610244902004,0.1,
rpc_microservice,light_background,0.3,same_core,17919.79248719257,471.24179355660726,0.7917484901417818,1.0,
rpc_microservice,light_background,0.3,same_numa,17919.79248719257,188.4967174226431,0.7917484901417818,0.4,
rpc_microservice,light_background,0.3,cross_socket,17919.79248719257,47.124179355660544,0.7917484901417818,0.1,
rpc_microservice,light_background,0.6,same_core,17919.79248719257,1082.6293461286546,0.7917484901417818,1.0,
rpc_microservice,light_background,0.6,same_numa,17919.79248719257,433.0517384514619,0.7917484901417818,0.4,
rpc_microservice,light_background,0.6,cross_socket,17919.79248719257,108.26293461286537,0.7917484901417818,0.1,
rpc_microservice,light_background,0.9,same_core,17919.79248719257,1761.1214468201229,0.7917484901417818,1.0,
rpc_microservice,light_background,0.9,same_numa,17919.79248719257,704.4485787280491,0.7917484901417818,0.4,
