,cache_thrash,membw_saturator,tlb_stress,numa_remote,prefetch_adversary,io_burst,pagefault_heavy,thermal_stress,mixed_cache_membw,light_background
rpc_microservice,54441.56075453384,44913.803125137405,20767.265136592177,25461.2775197098,40243.90185888693,11241.715810796548,15394.059196899998,20555.826871527617,84194.04294707857,23333.61617527569
inference_request,6314252.436508868,6290519.406337499,1775520.527977788,3253223.355207021,5282405.703135183,1746746.6696966835,2772416.888988648,1534896.8624937516,8691878.495054208,1783437.9169734067
realtime_control,4930.87559969524,6435.91573339365,2614.3111919745147,2958.203128119721,4296.569942983967,1158.1585351011372,1924.0745887249986,1954.5496835502245,6298.1012805550145,766.6561417927761
kv_lookup,25173.815385981896,12387.745434318178,4905.17560957167,6656.659327363106,12642.083265984813,4098.82903894038,4356.93339836731,5216.579547414853,26969.081410661354,4878.943406257708
streaming_frame,814676.3551465148,1558503.3932525145,406447.0759596661,640966.8710129684,1127022.4949890957,241019.4180563421,413331.36095031403,264220.25811240927,1405944.4268318384,178565.41635054094
