target,spectator,regime,distance,channel,per_channel_severity,channel_overlap,total_severity,spike_probability
rpc_microservice,membw_saturator,structured,same_core,THERMAL,0.0,0.0075,0.3558326890983193,0.6
rpc_microservice,membw_saturator,structured,same_core,OS_FAULTS,0.0,0.005000000000000001,0.3558326890983193,0.6
rpc_microservice,membw_saturator,structured,same_numa,LLC,0.028313862089136374,0.12,0.18913079945980832,0.6
rpc_microservice,membw_saturator,structured,same_numa,MEM_BW,0.11560969630198428,0.19,0.18913079945980832,0.6
rpc_microservice,membw_saturator,structured,same_numa,TLB,0.0,0.0225,0.18913079945980832,0.6
rpc_microservice,membw_saturator,structured,same_numa,PREFETCH,0.011269758049010318,0.06,0.18913079945980832,0.6
rpc_microservice,membw_saturator,structured,same_numa,NUMA,0.004082816946941947,0.03,0.18913079945980832,0.6
rpc_microservice,membw_saturator,structured,same_numa,THERMAL,0.0,0.0075,0.18913079945980832,0.6
rpc_microservice,membw_saturator,structured,same_numa,OS_FAULTS,0.0,0.005000000000000001,0.18913079945980832,0.6
rpc_microservice,membw_saturator,structured,cross_socket,LLC,0.008131021701350967,0.12,0.08436597890838327,0.3071660137450105
rpc_microservice,membw_saturator,structured,cross_socket,MEM_BW,0.043807882983538375,0.19,0.08436597890838327,0.3071660137450105
rpc_microservice,membw_saturator,structured,cross_socket,TLB,0.0,0.0225,0.08436597890838327,0.3071660137450105
rpc_microservice,membw_saturator,structured,cross_socket,PREFETCH,0.0034686749154469896,0.06,0.08436597890838327,0.3071660137450105
rpc_microservice,membw_saturator,structured,cross_socket,NUMA,0.0010939637140314573,0.03,0.08436597890838327,0.3071660137450105
rpc_microservice,membw_saturator,structured,cross_socket,THERMAL,0.0,0.0075,0.08436597890838327,0.3071660137450105
rpc_microservice,membw_saturator,structured,cross_socket,OS_FAULTS,0.0,0.005000000000000001,0.08436597890838327,0.3071660137450105
rpc_microservice,membw_saturator,adversarial,same_core,LLC,0.12917400229077877,0.12,0.703550121026671,0.6
rpc_microservice,membw_saturator,adversarial,same_core,MEM_BW,0.439119033671737,0.19,0.703550121026671,0.6
rpc_microservice,membw_saturator,adversarial,same_core,TLB,0.0,0.0225,0.703550121026671,0.6
rpc_microservice,membw_saturator,adversarial,same_core,PREFETCH,0.04911267567579404,0.06,0.703550121026671,0.6
rpc_microservice,membw_saturator,adversarial,same_core,NUMA,0.019499923728296252,0.03,0.703550121026671,0.6
rpc_microservice,membw_saturator,adversarial,same_core,THERMAL,0.0,0.0075,0.703550121026671,0.6
rpc_microservice,membw_saturator,adversarial,same_core,OS_FAULTS,0.0,0.005000000000000001,0.703550121026671,0.6
rpc_microservice,membw_saturator,adversarial,same_numa,LLC,0.05662772417827275,0.12,0.3550959310650874,0.6
rpc_microservice,membw_saturator,adversarial,same_numa,MEM_BW,0.23121939260396857,0.19,0.3550959310650874,0.6
rpc_microservice,membw_saturator,adversarial,same_numa,TLB,0.0,0.0225,0.3550959310650874,0.6
rpc_microservice,membw_saturator,adversarial,same_numa,PREFETCH,0.022539516098020636,0.06,0.3550959310650874,0.6
rpc_microservice,membw_saturator,adversarial,same_numa,NUMA,0.008165633893883894,0.03,0.3550959310650874,0.6
rpc_microservice,membw_saturator,adversarial,same_numa,THERMAL,0.0,0.0075,0.3550959310650874,0.6
rpc_microservice,membw_saturator,adversarial,same_numa,OS_FAULTS,0.0,0.005000000000000001,0.3550959310650874,0.6
rpc_microservice,membw_saturator,adversarial,cross_socket,LLC,0.016262043402701935,0.12,0.14158582900479746,0.6
rpc_microservice,membw_saturator,adversarial,cross_socket,MEM_BW,0.08761576596707675,0.19,0.14158582900479746,0.6
rpc_microservice,membw_saturator,adversarial,cross_socket,TLB,0.0,0.0225,0.14158582900479746,0.6
rpc_microservice,membw_saturator,adversarial,cross_socket,PREFETCH,0.006937349830893979,0.06,0.14158582900479746,0.6
rpc_microservice,membw_saturator,adversarial,cross_socket,NUMA,0.0021879274280629146,0.03,0.14158582900479746,0.6
rpc_microservice,membw_saturator,adversarial,cross_socket,THERMAL,0.0,0.0075,0.14158582900479746,0.6
rpc_microservice,membw_saturator,adversarial,cross_socket,OS_FAULTS,0.0,0.005000000000000001,0.14158582900479746,0.6
rpc_microservice,tlb_stress,structured,same_core,LLC,0.032741783783862714,0.08000000000000002,0.20928210808020714,0.6
rpc_microservice,tlb_stress,structured,same_core,MEM_BW,0.008165285229466815,0.04000000000000001,0.20928210808020714,0.6
rpc_microservice,tlb_stress,structured,same_core,TLB,0.13476369087517232,0.1425,0.20928210808020714,0.6
rpc_microservice,tlb_stress,structured,same_core,PREFETCH,0.008513848926441069,0.03,0.20928210808020714,0.6
rpc_microservice,tlb_stress,structured,same_core,NUMA,0.002213015835002767,0.015,0.20928210808020714,0.6
rpc_microservice,tlb_stress,structured,same_core,THERMAL,0.0,0.0025000000000000005,0.20928210808020714,0.6
rpc_microservice,tlb_stress,structured,same_core,OS_FAULTS,0.0,0.015,0.20928210808020714,0.6
rpc_microservice,tlb_stress,structured,same_numa,LLC,0.014353450913780178,0.08000000000000002,0.12360817160848671,0.5528008451513076
rpc_microservice,tlb_stress,structured,same_numa,MEM_BW,0.004299454467753327,0.04000000000000001,0.12360817160848671,0.5528008451513076
rpc_microservice,tlb_stress,structured,same_numa,TLB,0.07776942565812797,0.1425,0.12360817160848671,0.5528008451513076
rpc_microservice,tlb_stress,structured,same_numa,PREFETCH,0.003907301573231413,0.03,0.12360817160848671,0.5528008451513076
rpc_microservice,tlb_stress,structured,same_numa,NUMA,0.0009267050149420886,0.015,0.12360817160848671,0.5528008451513076
