scheduler,mean_p99,mean_cvar99,mean_utilization,mean_throughput,slo_miss_rate,is_pareto_optimal
linux_proxy,12707584.544998437,100030305.52416353,1.0,6170.170743128002,0.6173971193415638,False
mean_greedy,5274499.317386089,13668877.92639821,1.0,7129.020635080548,0.5739094650205762,False
random,13949516.0007701,65220134.859967634,1.0,6838.930398235753,0.5925308641975308,False
similarity_avoidance,5255218.610681417,15301162.079035828,1.0,7165.945491223023,0.573179012345679,True
sit_dpp,5765150.850922437,14727291.713925345,1.0,7140.740261571143,0.5709362139917696,False
sit_ucb_dpp,6337245.9497984145,38605212.09510696,1.0,7032.740415970157,0.573395061728395,False
static_partition,2079026.6800585524,11514617.144947937,0.6,8786.790691249576,0.48143004115226334,True
