,cache_thrash,membw_saturator,tlb_stress,numa_remote,prefetch_adversary,io_burst,pagefault_heavy,light_background
rpc_microservice,26946.77611234293,10415.415445670016,507.17042692436246,2672.2609761452777,12305.044582984574,294.6321226006953,1483.1270052598097,217.2345678681396
kv_lookup,565.6559898039961,2130.5388200273314,2500.055643239605,1303.0813685055434,3288.980049340329,30.560371527930513,734.3885483710876,292.7307759306846
inference_request,225792.8040779143,1693397.2324328313,412797.76443985704,699450.4693160229,921497.5886378721,55582.56892563911,144790.76488644793,64789.365190573466
