,cache_thrash,membw_saturator,tlb_stress,numa_remote,prefetch_adversary,io_burst,pagefault_heavy,thermal_stress,mixed_cache_membw,light_background
rpc_microservice,35299.08051066247,34562.42621995502,15008.965710618475,20476.46687738529,26909.36481420818,10298.445584888826,12263.322099722121,21855.457758593864,48778.912552989226,17630.096311880516
inference_request,4780544.130826874,6575833.582911375,1625402.928051765,2092500.3139358778,4715743.913247643,1194960.468474065,1456194.8784555271,1311876.6538946563,6204653.178022282,1018721.3198925826
realtime_control,4519.012970361115,4662.037094594778,1993.5343365072965,2673.0010186129566,3400.7592620792147,1117.0420945001808,1687.7998873797724,1454.9198666659422,5276.050332364739,546.2120717153857
kv_lookup,14036.856774781023,10088.114637259536,3789.2780474140527,4208.238813884201,8113.875102432696,3849.1966727749095,3660.0281078237567,4099.923875688338,14218.412906041234,3094.661302561717
streaming_frame,463440.520180598,1005889.4936951055,294663.82204194844,375159.8084251076,650111.1266267942,208827.28948015827,299014.7514622491,224605.15599308425,1277262.4317568394,177850.3948170818
