scheduler,slo_threshold_us,admission_rate,admitted_throughput,admitted_mean_p99,admitted_mean_cvar99
linux_proxy,100000,0.5864197530864198,10527.269536310025,17480.51457692511,499137.7445262867
mean_greedy,100000,0.6502057613168725,11111.432058514052,16250.414407755608,69937.34482538859
random,100000,0.6090534979423868,11188.576200916305,16901.22603625941,81894.23475553388
similarity_avoidance,100000,0.6502057613168725,11111.432058514052,16250.414407755608,69937.34482538859
sit_dpp,100000,0.6502057613168725,11111.432058514052,16250.414407755608,69937.34482538859
sit_ucb_dpp,100000,0.6502057613168725,11111.432058514052,16250.414407755608,69937.34482538859
static_partition,100000,0.7119341563786008,12020.346725503248,14376.116102419826,57842.76529649798
linux_proxy,250000,0.6748971193415638,9170.444416560862,34464.90301417524,504154.3408397549
mean_greedy,250000,0.7263374485596708,9964.91965426054,31754.30678614639,102706.8892728594
random,250000,0.7098765432098766,9625.407579576555,37397.536284032234,136561.84355990455
similarity_avoidance,250000,0.7263374485596708,9964.91965426054,31754.30678614639,102706.8892728594
sit_dpp,250000,0.7263374485596708,9964.91965426054,31754.30678614639,102706.8892728594
sit_ucb_dpp,250000,0.7263374485596708,9964.91965426054,31754.30678614639,102706.8892728594
static_partition,250000,0.7654320987654321,11189.86537088934,24766.992115988945,126936.37280282524
linux_proxy,500000,0.7263374485596708,8527.137267082026,57224.249562609395,553903.8261609465
mean_greedy,500000,0.7674897119341564,9434.459599234437,49400.46092094541,256061.2974956189
random,500000,0.7551440329218106,9052.473992725172,57247.121288374656,304064.36081542156
similarity_avoidance,500000,0.7674897119341564,9434.459599234437,49400.46092094541,256061.2974956189
sit_dpp,500000,0.7674897119341564,9434.459599234437,49400.46092094541,256061.2974956189
sit_ucb_dpp,500000,0.7674897119341564,9434.459599234437,49400.46092094541,256061.2974956189
static_partition,500000,0.8065843621399177,10622.344192417662,42016.99641306067,178681.70976179477
linux_proxy,1000000,0.779835390946502,7945.23378496448,100830.47713372028,765501.1743792285
mean_greedy,1000000,0.8004115226337448,9048.369529508213,74495.862287758,317899.4576097298
random,1000000,0.7839506172839507,8721.475315937403,81812.8179496138,359439.8159323208
similarity_avoidance,1000000,0.8004115226337448,9048.369529508213,74495.862287758,317899.4576097298
sit_dpp,1000000,0.8004115226337448,9048.369529508213,74495.862287758,317899.4576097298
sit_ucb_dpp,1000000,0.8004115226337448,9048.369529508213,74495.862287758,317899.4576097298
static_partition,1000000,0.8497942386831275,10084.257680591707,78092.49575336593,332093.51260587986
linux_proxy,2500000,0.8189300411522634,7566.899021874921,176482.05747625293,1010171.9413829256
mean_greedy,2500000,0.8683127572016461,8342.159619063774,207350.01954090444,1371562.2754959208
random,2500000,0.8333333333333334,8205.83819599021,179649.42415897205,670670.2804736997
similarity_avoidance,2500000,0.8683127572016461,8342.159619063774,207350.01954090444,1371562.2754959208
sit_dpp,2500000,0.8683127572016461,8342.159619063774,207350.01954090444,1371562.2754959208
sit_ucb_dpp,2500000,0.8683127572016461,8342.159619063774,207350.01954090444,1371562.2754959208
static_partition,2500000,0.9238683127572016,9277.158676775492,208264.80435199497,844108.8215955336
