drift_type,magnitude,repeat,naive_bias,irbs_bias,naive_rmse,irbs_rmse
slow_ramp,0.15,17,-35789.13158921938,-12428.566501422494,50559.96997150081,32364.42812870824
slow_ramp,0.15,18,10962.836927174008,2720.963675720821,50559.96997150081,32364.42812870824
slow_ramp,0.15,19,88292.39038063923,-26214.228786798572,50559.96997150081,32364.42812870824
slow_ramp,0.2,0,-151.37033943855204,-67724.2191544444,38935.27753843147,42339.279676626575
slow_ramp,0.2,1,-17572.33920734242,-39826.33365815971,38935.27753843147,42339.279676626575
slow_ramp,0.2,2,21560.22795454727,-32514.784646463435,38935.27753843147,42339.279676626575
slow_ramp,0.2,3,-21899.72789006072,4907.820361218939,38935.27753843147,42339.279676626575
slow_ramp,0.2,4,-36030.19080140436,26722.998462029384,38935.27753843147,42339.279676626575
slow_ramp,0.2,5,74208.49620681963,-47406.874402076326,38935.27753843147,42339.279676626575
slow_ramp,0.2,6,7428.176603333704,18233.765037758916,38935.27753843147,42339.279676626575
slow_ramp,0.2,7,-13727.48027931893,-85151.42897742034,38935.27753843147,42339.279676626575
slow_ramp,0.2,8,-34849.52040809754,-53646.93368397195,38935.27753843147,42339.279676626575
slow_ramp,0.2,9,-18701.44891578608,27348.866251141328,38935.27753843147,42339.279676626575
slow_ramp,0.2,10,61516.62041740824,13728.889698169573,38935.27753843147,42339.279676626575
slow_ramp,0.2,11,-14985.146769493993,15206.694061415852,38935.27753843147,42339.279676626575
slow_ramp,0.2,12,59114.65366903646,-74395.0992970655,38935.27753843147,42339.279676626575
slow_ramp,0.2,13,-50550.59126620335,-25934.040031722863,38935.27753843147,42339.279676626575
slow_ramp,0.2,14,30684.59988503938,-10399.413962928054,38935.27753843147,42339.279676626575
slow_ramp,0.2,15,31779.733011981618,-7707.463491405593,38935.27753843147,42339.279676626575
slow_ramp,0.2,16,-41855.19684170702,18258.135306748503,38935.27753843147,42339.279676626575
slow_ramp,0.2,17,29676.462847741,-477.9524432477483,38935.27753843147,42339.279676626575
slow_ramp,0.2,18,69590.43256343267,39077.94072212491,38935.27753843147,42339.279676626575
slow_ramp,0.2,19,-31101.55532731721,-75976.37553138143,38935.27753843147,42339.279676626575
slow_ramp,0.3,0,2064.719029019092,-12398.449243814073,67464.37383688409,35348.40739844359
slow_ramp,0.3,1,8974.184745364968,-51662.44242332023,67464.37383688409,35348.40739844359
slow_ramp,0.3,2,6093.855330262682,111798.07674290519,67464.37383688409,35348.40739844359
slow_ramp,0.3,3,-27375.80897333572,5859.287850939407,67464.37383688409,35348.40739844359
slow_ramp,0.3,4,16715.94851270292,-55061.731539436994,67464.37383688409,35348.40739844359
slow_ramp,0.3,5,-24240.538043567853,11165.053385337029,67464.37383688409,35348.40739844359
slow_ramp,0.3,6,1885.6278342878213,9700.940940932254,67464.37383688409,35348.40739844359
slow_ramp,0.3,7,-26056.56479250046,-29816.81472415419,67464.37383688409,35348.40739844359
slow_ramp,0.3,8,10819.128561603255,-7944.464061610692,67464.37383688409,35348.40739844359
slow_ramp,0.3,9,-49058.93593558698,-19257.46603649817,67464.37383688409,35348.40739844359
slow_ramp,0.3,10,8370.26759920016,-36457.74526375448,67464.37383688409,35348.40739844359
slow_ramp,0.3,11,51642.460648789274,5005.549313777592,67464.37383688409,35348.40739844359
slow_ramp,0.3,12,-21334.572078592493,14264.126292547095,67464.37383688409,35348.40739844359
slow_ramp,0.3,13,-6267.787098019355,-14263.16659098788,67464.37383688409,35348.40739844359
slow_ramp,0.3,14,32812.01188456468,43158.79611132995,67464.37383688409,35348.40739844359
slow_ramp,0.3,15,-21985.78168226499,-7269.233521234652,67464.37383688409,35348.40739844359
slow_ramp,0.3,16,272068.377331205,24394.159654200193,67464.37383688409,35348.40739844359
slow_ramp,0.3,17,16819.269846634503,-25276.914646870282,67464.37383688409,35348.40739844359
slow_ramp,0.3,18,-18860.236731807352,9496.928831137222,67464.37383688409,35348.40739844359
slow_ramp,0.3,19,81442.3164301234,-7740.867247521353,67464.37383688409,35348.40739844359
abrupt_shift,0.0,0,25307.038118057564,10221.029584079108,41241.72665788007,31582.499552531248
abrupt_shift,0.0,1,-28291.243260468967,16423.353194358933,41241.72665788007,31582.499552531248
abrupt_shift,0.0,2,40916.55489991067,1241.9697052165284,41241.72665788007,31582.499552531248
abrupt_shift,0.0,3,-35377.29984521528,-30169.49825223317,41241.72665788007,31582.499552531248
abrupt_shift,0.0,4,-36257.69665515455,-39100.400742122205,41241.72665788007,31582.499552531248
abrupt_shift,0.0,5,-29440.209987443,11173.41169271982,41241.72665788007,31582.499552531248
abrupt_shift,0.0,6,2394.756571885373,16502.250492817926,41241.72665788007,31582.499552531248
abrupt_shift,0.0,7,112288.77560790279,19590.20216609267,41241.72665788007,31582.499552531248
abrupt_shift,0.0,8,-45692.16757524814,-40622.179081865936,41241.72665788007,31582.499552531248
abrupt_shift,0.0,9,38300.45287108689,-32448.62562475883,41241.72665788007,31582.499552531248
abrupt_shift,0.0,10,-23364.928001324675,-41964.48615287183,41241.72665788007,31582.499552531248
abrupt_shift,0.0,11,-11273.567336410691,32467.658714667457,41241.72665788007,31582.499552531248
abrupt_shift,0.0,12,-14853.53361077691,-34364.37110146339,41241.72665788007,31582.499552531248
abrupt_shift,0.0,13,-14843.03318749831,5905.437154266954,41241.72665788007,31582.499552531248
abrupt_shift,0.0,14,-4193.692047617689,-40574.676552135614,41241.72665788007,31582.499552531248
abrupt_shift,0.0,15,3355.36410402591,-70248.55110037368,41241.72665788007,31582.499552531248
abrupt_shift,0.0,16,-2642.306657089852,-5019.237827123812,41241.72665788007,31582.499552531248
abrupt_shift,0.0,17,61002.65570680669,-27837.239998953562,41241.72665788007,31582.499552531248
abrupt_shift,0.0,18,36225.27815497291,-5198.444715286401,41241.72665788007,31582.499552531248
abrupt_shift,0.0,19,71534.00711629668,-47021.7397319921,41241.72665788007,31582.499552531248
abrupt_shift,0.05,0,-17557.717213984928,-32050.59995649627,31931.943841342807,31896.01173793359
abrupt_shift,0.05,1,-18766.71966827585,39721.83681368618,31931.943841342807,31896.01173793359
abrupt_shift,0.05,2,-43445.97325013936,-7559.3220243870455,31931.943841342807,31896.01173793359
abrupt_shift,0.05,3,-20300.429725795548,-18285.260176388518,31931.943841342807,31896.01173793359
abrupt_shift,0.05,4,-29188.509066784638,-14826.219879370736,31931.943841342807,31896.01173793359
abrupt_shift,0.05,5,-41195.93581200414,-4767.103707262431,31931.943841342807,31896.01173793359
abrupt_shift,0.05,6,-43746.463139219704,-5252.712348514004,31931.943841342807,31896.01173793359
abrupt_shift,0.05,7,28893.408142255183,35585.63975663617,31931.943841342807,31896.01173793359
abrupt_shift,0.05,8,-49645.17864159544,76323.35036337824,31931.943841342807,31896.01173793359
abrupt_shift,0.05,9,40028.75623921401,316.0960564460256,31931.943841342807,31896.01173793359
abrupt_shift,0.05,10,-12625.806148470554,-51762.99159954261,31931.943841342807,31896.01173793359
abrupt_shift,0.05,11,-28544.552339356014,-23428.05917365587,31931.943841342807,31896.01173793359
abrupt_shift,0.05,12,-8173.003080968687,-13931.885120897816,31931.943841342807,31896.01173793359
abrupt_shift,0.05,13,15517.218992102018,-267.70267302682623,31931.943841342807,31896.01173793359
abrupt_shift,0.05,14,50552.10494086001,-9379.01410386397,31931.943841342807,31896.01173793359
abrupt_shift,0.05,15,-15495.041966456134,-55086.70827596844,31931.943841342807,31896.01173793359
abrupt_shift,0.05,16,15558.900935780897,-17215.612225956604,31931.943841342807,31896.01173793359
abrupt_shift,0.05,17,-11261.265393820911,-41472.32393223897,31931.943841342807,31896.01173793359
abrupt_shift,0.05,18,-39549.941206613265,25935.330532427033,31931.943841342807,31896.01173793359
abrupt_shift,0.05,19,-45362.61304426132,-27473.503229317197,31931.943841342807,31896.01173793359
abrupt_shift,0.1,0,6299.389457757119,-55867.14357595304,38189.59112489397,40934.377586632574
abrupt_shift,0.1,1,-48742.15774175525,-27306.68023188744,38189.59112489397,40934.377586632574
abrupt_shift,0.1,2,48826.42820731434,-25522.4605526769,38189.59112489397,40934.377586632574
abrupt_shift,0.1,3,6358.9915831564285,-45856.48026809891,38189.59112489397,40934.377586632574
abrupt_shift,0.1,4,36103.70625586921,-4261.102076062845,38189.59112489397,40934.377586632574
abrupt_shift,0.1,5,-40140.919145725085,7662.832535342168,38189.59112489397,40934.377586632574
abrupt_shift,0.1,6,-29187.388033187395,70027.22942775764,38189.59112489397,40934.377586632574
abrupt_shift,0.1,7,-32535.744975645328,40803.0705923505,38189.59112489397,40934.377586632574
abrupt_shift,0.1,8,-35885.710405727645,-13115.490460721514,38189.59112489397,40934.377586632574
abrupt_shift,0.1,9,77757.16386572184,-24933.95435241732,38189.59112489397,40934.377586632574
abrupt_shift,0.1,10,42949.07353830169,-1411.7325926249905,38189.59112489397,40934.377586632574
abrupt_shift,0.1,11,-36766.68887264951,-14970.446806706983,38189.59112489397,40934.377586632574
abrupt_shift,0.1,12,-47130.42491478348,67073.46650463197,38189.59112489397,40934.377586632574
abrupt_shift,0.1,13,34201.886642398225,59728.2800363345,38189.59112489397,40934.377586632574
abrupt_shift,0.1,14,6116.401692297746,-51113.2916951284,38189.59112489397,40934.377586632574
abrupt_shift,0.1,15,4652.858015223552,-28467.17518904677,38189.59112489397,40934.377586632574
abrupt_shift,0.1,16,-21462.192942637397,-4197.4499836345785,38189.59112489397,40934.377586632574
abrupt_shift,0.1,17,-46793.02700567825,77682.12060099901,38189.59112489397,40934.377586632574
abrupt_shift,0.1,18,47510.04776660653,-35267.57282714578,38189.59112489397,40934.377586632574
abrupt_shift,0.1,19,-24815.61406957527,-20996.596839583508,38189.59112489397,40934.377586632574
abrupt_shift,0.15,0,-35091.634279766935,-19777.333286738285,40124.27307909945,54758.0264681498
abrupt_shift,0.15,1,1967.9009084961144,-27954.701088863425,40124.27307909945,54758.0264681498
abrupt_shift,0.15,2,-44066.539333616034,5461.042335463397,40124.27307909945,54758.0264681498
abrupt_shift,0.15,3,-52323.9543693414,2304.3482250507805,40124.27307909945,54758.0264681498
abrupt_shift,0.15,4,-60566.78328463368,-32111.935565131018,40124.27307909945,54758.0264681498
abrupt_shift,0.15,5,8405.925439838087,110030.0995088999,40124.27307909945,54758.0264681498
abrupt_shift,0.15,6,9591.471706461161,-39312.4695180142,40124.27307909945,54758.0264681498
abrupt_shift,0.15,7,9398.624211345392,79259.4804159461,40124.27307909945,54758.0264681498
abrupt_shift,0.15,8,19797.098287525412,141517.60794933332,40124.27307909945,54758.0264681498
