,cache_thrash,membw_saturator,tlb_stress,light_background
rpc_microservice,70655.51707762024,46235.84015492868,18857.777598425095,17919.79248719257
kv_lookup,31297.072627490994,10772.87429570566,9211.750511463451,6131.874962617678
inference_request,6230937.228730926,7802528.973655347,1710935.6026809206,1361559.4256458476
